lat,lng
-36.86816,174.72674
-36.86815,174.72688
-36.86808,174.72752
-36.86807,174.72759
-36.86807,174.72764
-36.86806,174.72765
-36.86804,174.72775
-36.86802,174.72785
-36.86798,174.72799
-36.86794,174.72813
-36.86789,174.72827
-36.86785,174.72835
-36.86781,174.72844
-36.86775,174.72856
-36.86769,174.72851
-36.8677,174.72851
-36.86776,174.72855
-36.86773,174.72861
-36.86751,174.72894
-36.86711,174.72958
-36.86648,174.73057
-36.86646,174.73059
-36.86641,174.73068
-36.86631,174.73083
-36.8662,174.731
-36.86615,174.73094
-36.8662,174.731
-36.86567,174.73179
-36.86516,174.73255
-36.86487,174.73297
-36.86483,174.73303
-36.86475,174.73313
-36.86471,174.73317
-36.86463,174.73327
-36.86455,174.73336
-36.8645,174.73341
-36.86417,174.73376
-36.86414,174.7338
-36.86411,174.73384
-36.86408,174.73388
-36.86404,174.73396
-36.86402,174.734
-36.864,174.73405
-36.86398,174.7341
-36.86397,174.73413
-36.86395,174.73422
-36.86393,174.73429
-36.86392,174.73436
-36.86391,174.73442
-36.86391,174.73449
-36.86391,174.73454
-36.86391,174.7346
-36.86392,174.73467
-36.86396,174.73491
-36.8639,174.73492
-36.86396,174.73491
-36.86405,174.73551
-36.86411,174.73586
-36.86425,174.73676
-36.86425,174.73679
-36.86428,174.73695
-36.8643,174.73706
-36.86432,174.73714
-36.86435,174.73721
-36.86438,174.73726
-36.8644,174.7373
-36.86443,174.73733
-36.86446,174.73736
-36.86449,174.73738
-36.86455,174.73741
-36.86461,174.73743
-36.86466,174.73744
-36.86514,174.73753
-36.8654,174.73758
-36.86576,174.73764
-36.86575,174.73769
-36.86575,174.73769
-36.86576,174.73764
-36.86592,174.73767
-36.86594,174.73768
-36.86597,174.73769
-36.866,174.7377
-36.86602,174.73771
-36.86604,174.73773
-36.86607,174.73775
-36.86609,174.73778
-36.86611,174.73781
-36.86644,174.73829
-36.86648,174.73835
-36.86651,174.7384
-36.86651,174.7384
-36.86675,174.73878
-36.86683,174.73891
-36.86686,174.73895
-36.86681,174.739
-36.86681,174.739
-36.86681,174.739
-36.86686,174.73895
-36.86691,174.73904
-36.86695,174.7391
-36.86697,174.73915
-36.86698,174.73919
-36.867,174.73925
-36.86701,174.73929
-36.86702,174.73933
-36.86703,174.73939
-36.86703,174.73941
-36.86703,174.73944
-36.86702,174.73952
-36.86701,174.7396
-36.86699,174.73966
-36.86697,174.73971
-36.86691,174.73992
-36.86681,174.7402
-36.86667,174.74064
-36.86654,174.74103
-36.86653,174.74107
-36.86646,174.74103
-36.86646,174.74103
-36.86653,174.74107
-36.86648,174.74121
-36.86647,174.74124
-36.86622,174.74198
-36.86612,174.74229
-36.86592,174.74288
-36.86577,174.74333
-36.86566,174.74367
-36.86543,174.74437
-36.86538,174.7445
-36.86522,174.74499
-36.86515,174.74495
-36.86522,174.74499
-36.86507,174.74541
-36.86479,174.74626
-36.86474,174.7464
-36.86466,174.74637
-36.86474,174.7464
-36.86471,174.74648
-36.86469,174.74653
-36.86467,174.74658
-36.86464,174.74662
-36.86462,174.74665
-36.86458,174.74669
-36.86439,174.74693
-36.86419,174.74718
-36.86419,174.74718
-36.86375,174.74773
-36.86361,174.74791
-36.86311,174.74853
-36.86302,174.74864
-36.86291,174.74877
-36.86286,174.74871
-36.86291,174.74877
-36.8628,174.74892
-36.86255,174.74923
-36.86247,174.74932
-36.86183,174.75012
-36.86159,174.75042
-36.86152,174.75051
-36.86147,174.75056
-36.86144,174.75049
-36.86144,174.75049
-36.86147,174.75056
-36.86119,174.75091
-36.86082,174.75137
-36.86055,174.75172
-36.86028,174.75204
-36.86023,174.75198
-36.86023,174.75198
-36.86028,174.75204
-36.8602,174.75214
-36.86011,174.75226
-36.86002,174.75237
-36.85993,174.75249
-36.85987,174.75256
-36.85982,174.75262
-36.85972,174.75275
-36.85962,174.75287
-36.85952,174.75301
-36.85942,174.75313
-36.85933,174.75325
-36.85923,174.75337
-36.85911,174.75352
-36.85903,174.75361
-36.859,174.75364
-36.85899,174.75366
-36.85896,174.75369
-36.85895,174.75372
-36.85893,174.75375
-36.85892,174.75378
-36.85884,174.75405
-36.85877,174.75427
-36.8587,174.75453
-36.85862,174.75478
-36.85852,174.75511
-36.85844,174.75535
-36.85834,174.75567
-36.85827,174.75593
-36.85817,174.75624
-36.85812,174.75641
-36.85806,174.75639
-36.85811,174.75641
-36.85812,174.75641
-36.85811,174.75643
-36.85811,174.75643
-36.85799,174.75682
-36.8578,174.75744
-36.85762,174.75803
-36.8576,174.75809
-36.85759,174.75813
-36.85759,174.75818
-36.85759,174.75821
-36.85759,174.75824
-36.85759,174.75827
-36.85767,174.75879
-36.85771,174.75905
-36.85754,174.75903
-36.85743,174.75902
-36.8573,174.759
-36.85706,174.75896
-36.85679,174.75892
-36.8565,174.75888
-36.8562,174.75883
-36.85601,174.7588
-36.85589,174.75879
-36.8558,174.75877
-36.85556,174.75874
-36.85536,174.75871
-36.85527,174.7587
-36.85515,174.75869
-36.85514,174.7587
-36.85504,174.75881
-36.85502,174.75883
-36.85496,174.75889
-36.8549,174.75893
-36.85475,174.75903
-36.85444,174.75923
-36.85442,174.75917
-36.85444,174.75923
-36.85358,174.75979
-36.85334,174.75994
-36.8524,174.76057
-36.8523,174.76064
-36.8522,174.76072
-36.85215,174.76076
-36.85206,174.76084
-36.85199,174.76092
-36.85191,174.761
-36.85187,174.76105
-36.85183,174.76099
-36.85186,174.76105
-36.85183,174.76109
-36.85172,174.76122
-36.85169,174.76126
-36.8516,174.76139
-36.85153,174.76151
-36.8515,174.76155
-36.85141,174.76174
-36.85134,174.76189
-36.85126,174.76205
-36.85121,174.76217
-36.85121,174.76217
-36.85119,174.7622
-36.85116,174.76225
-36.85114,174.76227
-36.85112,174.7623
-36.8511,174.76232
-36.85108,174.76234
-36.85105,174.76236
-36.85101,174.7624
-36.85097,174.76243
-36.85093,174.76245
-36.85038,174.7627
-36.85012,174.76282
-36.84988,174.76292
-36.8492,174.76322
-36.84882,174.76338
-36.84882,174.76338
-36.8488,174.7633
-36.8488,174.7633
