lon,lat
174.81448,-36.88047
174.81439,-36.88046
174.81416,-36.88042
174.81405,-36.88041
174.81395,-36.88039
174.81394,-36.88044
174.81395,-36.88039
174.8131,-36.88026
174.8128,-36.88021
174.81272,-36.88021
174.81264,-36.8802
174.81257,-36.8802
174.8125,-36.88021
174.81242,-36.88021
174.81235,-36.88022
174.81229,-36.88024
174.81221,-36.88025
174.81214,-36.88027
174.81206,-36.8803
174.81199,-36.88033
174.81192,-36.88036
174.81186,-36.88039
174.81177,-36.88043
174.81147,-36.88062
174.81088,-36.88101
174.81092,-36.88105
174.81088,-36.88102
174.81063,-36.88119
174.80935,-36.88207
174.80934,-36.88208
174.80926,-36.88213
174.80918,-36.88218
174.80912,-36.88221
174.8091,-36.88222
174.80905,-36.88224
174.80899,-36.88227
174.80893,-36.88229
174.8089,-36.8823
174.80887,-36.88231
174.80882,-36.88232
174.8088,-36.88233
174.80874,-36.88234
174.80872,-36.88235
174.80872,-36.88235
174.80869,-36.88235
174.80867,-36.88236
174.80867,-36.88236
174.80867,-36.88236
174.80869,-36.88241
174.80867,-36.88236
174.80865,-36.88236
174.80859,-36.88237
174.80852,-36.88238
174.80845,-36.88238
174.80838,-36.88238
174.80835,-36.88238
174.80834,-36.88238
174.80827,-36.88238
174.80822,-36.88238
174.80815,-36.88237
174.80805,-36.88235
174.80799,-36.88234
174.80793,-36.88232
174.80788,-36.88231
174.80741,-36.88214
174.80655,-36.88183
174.80637,-36.88176
174.80632,-36.88175
174.80627,-36.88174
174.8059,-36.88168
174.80589,-36.88173
174.8059,-36.88168
174.80554,-36.88163
174.80519,-36.88158
174.80466,-36.8815
174.80399,-36.8814
174.80263,-36.8812
174.80172,-36.88107
174.80171,-36.88112
174.80172,-36.88107
174.80143,-36.88103
174.80129,-36.88102
174.80022,-36.88092
174.79983,-36.88089
174.79979,-36.88088
174.79852,-36.88078
174.79817,-36.88075
174.79767,-36.8807
174.79733,-36.88067
174.79726,-36.88066
174.79725,-36.88074
174.79726,-36.88066
174.79689,-36.88062
174.79613,-36.88054
174.79573,-36.88051
174.79551,-36.88049
174.79528,-36.88046
174.79506,-36.88044
174.79487,-36.8804
174.79487,-36.8804
174.79475,-36.88038
174.79456,-36.88033
174.79437,-36.88028
174.79436,-36.88028
174.79433,-36.88034
174.79436,-36.88028
174.79427,-36.88026
174.79418,-36.88023
174.79399,-36.88017
174.79324,-36.87993
174.79252,-36.8797
174.79186,-36.87949
174.79091,-36.87919
174.79088,-36.87925
174.79091,-36.87919
174.7905,-36.87906
174.79024,-36.87897
174.79019,-36.87896
174.79015,-36.87895
174.79012,-36.87894
174.79007,-36.87892
174.79,-36.87888
174.78995,-36.87885
174.7899,-36.87881
174.78984,-36.87874
174.78951,-36.87837
174.78945,-36.87829
174.78938,-36.8782
174.78933,-36.87813
174.78929,-36.87805
174.78927,-36.878
174.78915,-36.87765
174.78907,-36.87742
174.78904,-36.87735
174.78901,-36.87728
174.78898,-36.87724
174.78896,-36.8772
174.78895,-36.87719
174.78891,-36.8772
174.78891,-36.8772
174.78895,-36.87719
174.7889,-36.87712
174.78886,-36.87708
174.78882,-36.87704
174.78877,-36.877
174.78871,-36.87695
174.78864,-36.8769
174.78857,-36.87685
174.78845,-36.87679
174.78695,-36.87602
174.78672,-36.8759
174.78654,-36.87581
174.78641,-36.87576
174.78573,-36.87546
174.78566,-36.87543
174.78563,-36.87542
174.7855,-36.87536
174.7854,-36.87532
174.78537,-36.87537
174.78537,-36.87537
174.7854,-36.87532
174.78513,-36.8752
174.78508,-36.87517
174.78504,-36.87515
174.78488,-36.87506
174.78473,-36.87496
174.7841,-36.87459
174.78319,-36.87405
174.78286,-36.87385
174.78282,-36.8739
174.78286,-36.87385
174.78253,-36.87365
174.78142,-36.87299
174.78141,-36.87299
174.78132,-36.87294
174.78087,-36.87267
174.78082,-36.87263
174.78078,-36.87267
174.78082,-36.87263
174.78079,-36.87261
174.78073,-36.87257
174.78069,-36.87254
174.78041,-36.87229
174.77908,-36.87114
174.77878,-36.87088
174.77868,-36.87079
174.77868,-36.87079
174.77867,-36.87079
174.77857,-36.8707
174.77834,-36.8705
174.77802,-36.87022
174.77798,-36.87018
174.77792,-36.87022
174.77798,-36.87018
174.77791,-36.87012
174.7778,-36.87003
174.77775,-36.86998
