seg_dist,speed,id
19.8783373006227,16.7964996523992,1
241.534034320955,17.0855485163284,2
463.189731341287,17.3850933475123,3
684.845428361619,17.6424710696616,4
906.501125381951,17.8051723639879,5
1128.15682240228,17.8353084880115,6
1349.81251942262,17.7154376289105,7
1571.46821644295,17.4589817286817,8
1793.12391346328,17.1847910244307,9
2014.77961048361,17.0258476756984,10
2236.43530750394,17.0261509136508,11
2458.09100452428,17.1403397315683,12
2679.74670154461,17.2760541765229,13
2901.40239856494,17.3504504039448,14
3123.05809558527,17.3363264069716,15
3344.71379260561,17.258315172134,16
3566.36948962594,17.2076507821514,17
3788.02518664627,17.2430185820976,18
4009.6808836666,17.3703523457012,19
4231.33658068693,17.5801610800718,20
