seg_dist,speed,id
19.8783373006227,16.8830210466554,1
241.534034320955,17.1060318800199,2
463.189731341287,17.3027139302464,3
684.845428361619,17.4055018164319,4
906.501125381951,17.3444884990318,5
1128.15682240228,17.0573996211689,6
1349.81251942262,16.4926134103586,7
1571.46821644295,15.618902847347,8
1793.12391346328,14.518534379562,9
2014.77961048361,13.3342589309945,10
2236.43530750394,12.2551651048055,11
2458.09100452428,11.4965416832303,12
2679.74670154461,11.1925230447508,13
2901.40239856494,11.5041319465077,14
3123.05809558527,12.3972286779925,15
3344.71379260561,13.6780577109471,16
3566.36948962594,15.0640089736347,17
3788.02518664627,16.3254151075062,18
4009.6808836666,17.3066230425408,19
4231.33658068693,18.0579947107517,20
