id,tt,seg_dist,speed,lat,lng,latr,lngr
674,8.35,1393.29433749008,18.3457873257365,-36.8095664978027,174.755950927734,-36.8085644958549,174.756528565259
473,9.23333333333333,1354.47959240877,18.3432751403495,-36.8095664978027,174.755950927734,-36.808679887326,174.755979442619
344,18.7166666666667,3761.28404786936,18.3432751403495,-36.8288993835449,174.746917724609,-36.8294882665076,174.747154705692
672,8.11666666666667,4437.97559092213,18.3200929457284,-36.8339576721191,174.743545532227,-36.8334705155121,174.74363503223
54,6.78333333333333,2834.88410633648,18.3135396505653,-36.8211669921875,174.750152587891,-36.8212932293215,174.749516931689
122,11.0833333333333,1184.38740474371,18.3117265098871,-36.8084373474121,174.757217407227,-36.807780321457,174.757289715779
1,12,1539.38431145548,18.3085900452544,-36.8108787536621,174.754913330078,-36.8114821828731,174.754701838086
181,13.7666666666667,1606.78300411194,18.3041592898819,-36.8116264343262,174.754699707031,-36.8118849661244,174.755299457455
755,7.26666666666667,2123.92365286088,18.3025992581138,-36.815071105957,174.751388549805,-36.8160009603098,174.75187534114
363,5.55,3761.28404786936,18.3023172692227,-36.8288993835449,174.746917724609,-36.8280200463242,174.746118718929
684,9.96666666666667,3775.11965886449,18.3002287164554,-36.8288993835449,174.746917724609,-36.8283556426705,174.746754449818
62,9.28333333333333,3089.41990659238,18.2977959457867,-36.8235321044922,174.750335693359,-36.8236672450507,174.750630204643
753,9.08333333333333,2669.25758141444,18.2877778223603,-36.8197822570801,174.750106811523,-36.8193661010875,174.750134695474
637,7.88333333333333,4419.41893332441,18.2864168719634,-36.8341178894043,174.743438720703,-36.8347967114698,174.743005560989
87,9.88333333333333,1357.31446220319,18.2800224674517,-36.8096580505371,174.756057739258,-36.8094666454632,174.757356470669
649,8.9,2303.97327269754,18.2796883101805,-36.8166084289551,174.750885009766,-36.8167207353617,174.750979666145
566,7.66666666666667,50.1553124671645,18.2780749893307,-36.7992324829102,174.762237548828,-36.799551109604,174.763004608413
614,15.2833333333333,3759.40877338611,18.2780749893307,-36.8288993835449,174.746917724609,-36.8289308363001,174.74772221949
57,6.83333333333333,2681.59977946124,18.2737276078466,-36.8197822570801,174.750106811523,-36.8195694246399,174.74963939806
695,7.6,2682.56998520957,18.2700614323566,-36.8197822570801,174.750106811523,-36.8204995834867,174.750613285172
71,9.46666666666667,2199.27079114523,18.2598966169844,-36.8156814575195,174.751129150391,-36.8155687556013,174.751302103504
160,12.7833333333333,2199.27079114523,18.2598966169844,-36.8156814575195,174.751129150391,-36.8151185322958,174.750449823464
675,8.35,2237.20055447396,18.2505669762951,-36.8156814575195,174.751129150391,-36.8152909477515,174.750329419482
575,8.23333333333333,2665.28662098738,18.2483666187669,-36.8197822570801,174.750106811523,-36.8203060623636,174.75055380025
447,8.66666666666667,1561.42508740126,18.2417708510354,-36.8111419677734,174.754669189453,-36.8121564151094,174.753991354862
710,8.35,537.019947353303,18.2297598262558,-36.8032836914062,174.760848999023,-36.8032129150344,174.759820242692
565,7.53333333333333,3084.99905321902,18.2272897342454,-36.8235321044922,174.750335693359,-36.8236583698233,174.749767258283
579,8.6,3084.99905321902,18.2272897342454,-36.8235321044922,174.750335693359,-36.8241029595906,174.749689437049
584,9.45,3084.99905321902,18.2272897342454,-36.8235321044922,174.750335693359,-36.8240640382783,174.750350715579
7,13.0333333333333,1870.67624373421,18.2171525997728,-36.8136405944824,174.753799438477,-36.8138580433797,174.754849173828
319,17.9333333333333,3860.50449067398,18.2085867564518,-36.8296775817871,174.746368408203,-36.8294186772216,174.747053156437
754,9.08333333333333,3089.87647132873,18.2048243792046,-36.8235321044922,174.750335693359,-36.8242820866214,174.750351181171
725,7.6,3083.01577551143,18.2021731613012,-36.8235321044922,174.750335693359,-36.8238393224674,174.751110657912
673,8.33333333333333,491.472987968082,18.2018987976917,-36.8027000427246,174.761138916016,-36.8022227150567,174.760752254981
678,8.35,2857.71983166799,18.2018987976917,-36.8211669921875,174.750152587891,-36.8206910820479,174.749891939029
474,9.25,2601.82230195254,18.1904145141799,-36.819221496582,174.750244140625,-36.8194654778655,174.750073903743
499,8.3,3094.74575065439,18.1835208031687,-36.8235321044922,174.750335693359,-36.8234233032078,174.750229698555
156,12.6,3233.99826610768,18.1822683366098,-36.8247184753418,174.749649047852,-36.8248989495604,174.749443059932
188,14.0833333333333,3089.41990659238,18.176518093619,-36.8235321044922,174.750335693359,-36.8236464396297,174.750743991861
681,9.76666666666667,3102.78139815377,18.171304343533,-36.8235321044922,174.750335693359,-36.8231474020465,174.750476961888
471,9.28333333333333,3089.41990659238,18.1663084785131,-36.8235321044922,174.750335693359,-36.8245823875039,174.750160473766
529,7.76666666666667,3102.42085198259,18.1659023795729,-36.8235321044922,174.750335693359,-36.8237411770524,174.749522137581
660,8.58333333333333,3120.64341121967,18.1605552128169,-36.8235321044922,174.750335693359,-36.8239560528743,174.750665961464
713,8.36666666666667,2212.9219354484,18.1603971980687,-36.8156814575195,174.751129150391,-36.8153477096926,174.751390276003
77,9.5,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8238327494833,174.749401386044
85,9.85,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8231609484689,174.750588585135
359,22.7666666666667,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.823017232443,174.750554126182
362,5.55,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8235980860373,174.750202769904
368,5.78333333333333,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8230514994704,174.75011403978
404,7.35,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8245340730349,174.750036057803
406,7.55,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8232306405806,174.749732616128
416,7.71666666666667,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8246587055041,174.749944382195
421,8,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8249010326852,174.749562871124
449,8.68333333333333,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8240114715383,174.748940673421
454,8.81666666666667,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8231849890189,174.750350742072
456,8.85,3089.41990659238,18.1584903047833,-36.8235321044922,174.750335693359,-36.8242865547753,174.750209402688
