id,lat,lng,route
3077,-36.848316192627,174.769912719727,22106-20170928152758_v59.3
3078,-36.8974990844727,174.656173706055,16202-20170928152758_v59.3
3080,-36.9092483520508,174.683746337891,24308-20170928152758_v59.3
3085,-36.7725639343262,174.764846801758,85804-20170928152758_v59.3
3086,-36.6779174804688,174.450332641602,12502-20170928152758_v59.3
3087,-36.8233413696289,174.61051940918,11006-20170928152758_v59.3
3091,-36.8792495727539,174.791320800781,63502-20170928152758_v59.3
3094,-36.8682174682617,174.724838256836,01804-20170928152758_v59.3
3098,-36.8977508544922,174.648727416992,01406-20170928152758_v59.3
3099,-36.8242835998535,174.615173339844,01406-20170928152758_v59.3
3700,-36.9252510070801,174.852279663086,75703-20170928152758_v59.3
3701,-36.8457489013672,174.767669677734,71901-20170928152758_v59.3
3702,-36.8451995849609,174.767776489258,75704-20170928152758_v59.3
3703,-36.8810501098633,174.810913085938,62501-20170928152758_v59.3
3704,-36.8446464538574,174.766632080078,79702-20170928152758_v59.3
3705,-36.8669281005859,174.845016479492,71901-20170928152758_v59.3
3709,-36.9289512634277,174.850677490234,75704-20170928152758_v59.3
3723,-36.846134185791,174.756546020508,88103-20170928152758_v59.3
3725,-36.6979713439941,174.753448486328,88202-20170928152758_v59.3
3728,-36.854549407959,174.718856811523,02001-20170928152758_v59.3
3730,-36.7876815795898,174.771118164062,89101-20170928152758_v59.3
3741,-36.7205276489258,174.735046386719,87901-20170928152758_v59.3
3743,-36.7297897338867,174.701461791992,98601-20170928152758_v59.3
3746,-36.8798828125,174.811462402344,60601-20170928152758_v59.3
3747,-36.6132469177246,174.802108764648,98203-20170928152758_v59.3
3748,-36.803768157959,174.760299682617,83902-20170928152758_v59.3
3753,-36.6152496337891,174.682632446289,98205-20170928152758_v59.3
3757,-36.7546157836914,174.759033203125,83901-20170928152758_v59.3
3758,-36.7295837402344,174.70133972168,89102-20170928152758_v59.3
3759,-36.689640045166,174.750762939453,83902-20170928152758_v59.3
3779,-36.8963661193848,174.732131958008,01001-20170928152758_v59.3
3781,-36.712532043457,174.742767333984,87502-20170928152758_v59.3
3805,-36.9085159301758,174.838760375977,53206-20170928152758_v59.3
3809,-36.8540649414062,174.758377075195,03002-20170928152758_v59.3
3811,-36.8534851074219,174.745590209961,02002-20170928152758_v59.3
5213,-36.8194999694824,174.749694824219,97302-20170928152758_v59.3
5216,-36.8426055908203,174.764389038086,95802-20170928152758_v59.3
5222,-36.7780342102051,174.72297668457,95701-20170928152758_v59.3
5228,-36.8228302001953,174.733596801758,95702-20170928152758_v59.3
5230,-36.7873687744141,174.770767211914,97603-20170928152758_v59.3
5237,-36.8111991882324,174.720520019531,97503-20170928152758_v59.3
5243,-36.8431396484375,174.766006469727,95801-20170928152758_v59.3
5245,-36.7697334289551,174.721984863281,95802-20170928152758_v59.3
5255,-36.8392028808594,174.739501953125,96604-20170928152758_v59.3
5258,-36.8439483642578,174.763870239258,97301-20170928152758_v59.3
5600,-37.051383972168,174.930038452148,03301-20170928152758_v59.3
5602,-36.9939575195312,174.880447387695,36601-20170928152758_v59.3
5603,-36.7530517578125,174.723617553711,88001-20170928152758_v59.3
5607,-37.0273475646973,174.887817382812,36201-20170928152758_v59.3
5609,-36.9737663269043,174.864532470703,03302-20170928152758_v59.3
5610,-36.7874298095703,174.770889282227,80302-20170928152758_v59.3
5611,-36.9471015930176,174.833648681641,03301-20170928152758_v59.3
5612,-36.741584777832,174.750595092773,88002-20170928152758_v59.3
5626,-36.8028182983398,174.744140625,91102-20170928152758_v59.3
5632,-36.6684341430664,174.679275512695,10004-20170928152758_v59.3
5653,-36.8286018371582,174.607788085938,12004-20170928152758_v59.3
5654,-36.9249839782715,174.701812744141,19508-20170928152758_v59.3
5659,-36.9463500976562,174.653564453125,17030-20170928152758_v59.3
5678,-36.824462890625,174.749816894531,10001-20170928152758_v59.3
5679,-36.8437538146973,174.765594482422,10001-20170928152758_v59.3
5680,-36.7791328430176,174.747451782227,10001-20170928152758_v59.3
5682,-36.7223663330078,174.713104248047,10001-20170928152758_v59.3
5703,-36.7879981994629,174.771270751953,90503-20170928152758_v59.3
5707,-36.7304153442383,174.702606201172,88705-20170928152758_v59.3
5708,-36.7598152160645,174.720855712891,90503-20170928152758_v59.3
5739,-36.8483123779297,174.762405395508,19507-20170928152758_v59.3
5758,-36.8023948669434,174.730484008789,92203-20170928152758_v59.3
5759,-36.7896499633789,174.769729614258,91103-20170928152758_v59.3
5760,-36.8049507141113,174.751007080078,92202-20170928152758_v59.3
5767,-36.8515472412109,174.764129638672,92203-20170928152758_v59.3
5768,-36.6895332336426,174.750564575195,88706-20170928152758_v59.3
5826,-36.7327651977539,174.701629638672,88002-20170928152758_v59.3
5870,-36.8449363708496,174.751693725586,10001-20170928152758_v59.3
5876,-36.852668762207,174.765640258789,92202-20170928152758_v59.3
5879,-36.7680816650391,174.737838745117,90504-20170928152758_v59.3
5888,-36.7294845581055,174.711090087891,88706-20170928152758_v59.3
5893,-36.7323799133301,174.702835083008,55504-20170928152758_v59.3
6208,-36.8537292480469,174.763336181641,30011-20170928152758_v59.3
6213,-36.8584175109863,174.763565063477,30009-20170928152758_v59.3
6215,-36.9611015319824,174.799468994141,30009-20170928152758_v59.3
6220,-36.9172325134277,174.756881713867,30012-20170928152758_v59.3
6226,-37.0049362182617,174.785125732422,30002-20170928152758_v59.3
6227,-37.0035018920898,174.790084838867,30011-20170928152758_v59.3
6228,-36.8761825561523,174.750930786133,30011-20170928152758_v59.3
6659,-36.9432983398438,174.842819213867,32602-20170928152758_v59.3
