id,speed,xstart,xend,ystart,yend
3505,0,174.4413396,174.4413396,-36.673189,-36.673189
3506,38.6846870682887,174.4413396,174.5543081,-36.673189,-36.7754552
3507,NA,174.45257,174.4413396,-36.67829,-36.673189
3508,52.2317101160578,174.5543081,174.4413396,-36.7754552,-36.673189
3509,NA,174.4413396,174.45084,-36.673189,-36.6759
3510,NA,174.4413396,174.45084,-36.673189,-36.6759
3511,20.9918798283343,174.607474,174.6075629,-36.8240008,-36.8215399
3512,30.7609983036939,174.6075629,174.6094486,-36.8215399,-36.8206244
3513,59.0631135413571,174.6149203,174.6313449,-36.818197,-36.847352
3514,61.9967566722753,174.6313449,174.7016511,-36.847352,-36.8720027
3515,71.8809350741678,174.7016511,174.7237366,-36.8720027,-36.8689118
3516,34.7961344965744,174.7237366,174.7539055,-36.8689118,-36.8614395
3517,20.3746060579195,174.7539055,174.7574771,-36.8614395,-36.8537149
3518,60.8854109438442,174.7574771,174.7584961,-36.8537149,-36.8512642
3519,47.5782570214859,174.7584961,174.7598929,-36.8512642,-36.8516645
3520,11.9954139888684,174.7598929,174.7609036,-36.8516645,-36.8519798
3521,52.940018184022,174.7583636,174.7258389,-36.8540021,-36.8691678
3522,42.6105261310796,174.7258389,174.7237366,-36.8691678,-36.8689118
3523,70.6230163881369,174.7237366,174.613883,-36.8689118,-36.8188764
3524,88.4378701231201,174.6094486,174.6075629,-36.8206244,-36.8215399
3525,75.8937193793623,174.6075629,174.607474,-36.8215399,-36.8240008
3526,12.3943953558991,174.6120082,174.6287317,-36.8608411,-36.8569019
3527,12.9816663826968,174.6287317,174.630025,-36.8569019,-36.8568413
3528,4.11300321035939,174.630025,174.6287317,-36.8568413,-36.8569019
3529,25.179604979777,174.6287317,174.6120082,-36.8569019,-36.8608411
3530,NA,174.65111,174.6566145,-36.84128,-36.8399672
3531,36.5003400990682,174.6566145,174.6517011,-36.8399672,-36.8411231
3532,37.560641288873,174.6517011,174.6512038,-36.8411231,-36.8494552
3533,30.3604552019121,174.6352589,174.635206,-36.8796901,-36.8782513
3534,21.5634693164451,174.635206,174.6332502,-36.8782513,-36.8769348
3535,NA,174.65111,174.6566145,-36.84128,-36.8399672
3536,23.4117666864261,174.6332502,174.635206,-36.8769348,-36.8782513
3537,33.9322734609606,174.635206,174.6352589,-36.8782513,-36.8796901
3538,20.6757910346017,174.6509932,174.6518222,-36.8601125,-36.8563527
3539,18.3937212122009,174.6509738,174.6512038,-36.8526628,-36.8494552
3540,34.821844528226,174.6512038,174.6517011,-36.8494552,-36.8411231
3541,NA,174.6517011,174.65111,-36.8411231,-36.84128
3542,NA,174.6517011,174.65111,-36.8411231,-36.84128
3543,80.1117850775261,174.6518222,174.7052893,-36.8563527,-36.871496
3544,71.2960111074798,174.7051252,174.6522836,-36.8726001,-36.8582201
3545,78.7306729526003,174.6518222,174.7016511,-36.8563527,-36.8720027
3546,44.9941488900068,174.7237366,174.6522836,-36.8689118,-36.8582201
3547,4.03566413871761,174.6517011,174.6566145,-36.8411231,-36.8399672
3548,NA,174.6517011,174.65185,-36.8411231,-36.84185
3549,NA,174.6517011,174.65185,-36.8411231,-36.84185
3550,43.2894429897814,174.7237366,174.7051252,-36.8689118,-36.8726001
3551,45.0791143683639,174.635206,174.6389138,-36.8782513,-36.8714454
3552,32.9310328740635,174.6389138,174.6465816,-36.8714454,-36.8651463
3553,10.4995788606176,174.6465816,174.652319,-36.8651463,-36.8586054
3554,8.02599386588561,174.652319,174.6465816,-36.8586054,-36.8651463
3555,31.4608974779,174.6465816,174.6389138,-36.8651463,-36.8714454
3556,32.3393646555654,174.6389138,174.635206,-36.8714454,-36.8782513
